variant,step,points,end_P5_MW,end_V5_pu,minimum_voltage_bus,minimum_voltage_pu,stop_cause
Baseline,0.1,54,358.838551517324,0.678584996466096,5,0.678584996466096,nose_event
Coupled current,0.1,38,359.016412053589,0.688338037035515,5,0.688338037035515,nose_event
Augmented + tangent transport,0.1,43,204.735529163247,0.235722175338196,5,0.235722175338196,vsc_capability_limit
Combined,0.1,42,204.739140987726,0.235715666672517,5,0.235715666672517,vsc_capability_limit
Baseline,0.05,45,358.86103222494,0.680698334774477,5,0.680698334774477,gen_capability_limit
Coupled current,0.05,58,359.016412053404,0.68833803475947,5,0.68833803475947,nose_event
Augmented + tangent transport,0.05,77,204.731578085508,0.235708592713018,5,0.235708592713018,vsc_capability_limit
Combined,0.05,79,204.73407852269,0.235707473014383,5,0.235707473014383,vsc_capability_limit
