step_index,lambda,load_multiplier,min_VM_pu,max_VM_pu
1,0,1,0.80178742,1.17104532
2,8.06399673389395e-05,1.00008063996734,0.80178742,1.17104532
3,0.000241913440033651,1.00024191344003,0.80178742,1.17104532
4,0.000564434677838093,1.00056443467784,0.80178742,1.17104532
5,0.000967537964918384,1.00096753796492,0.80178742,1.17104532
6,0.00137058754680017,1.0013705875468,0.80178742,1.17104532
7,0.00177358333553803,1.00177358333554,0.80178742,1.17104532
8,0.00217652524303489,1.00217652524303,0.80178742,1.17104532
9,0.00257941318091467,1.00257941318091,0.80178742,1.17104532
10,0.00298224706080409,1.0029822470608,0.80178742,1.17104532
11,0.00338502679402752,1.00338502679403,0.80178742,1.17104532
12,0.00378775229176394,1.00378775229176,0.80178742,1.17104532
13,0.00419042346502431,1.00419042346502,0.80178742,1.17104532
14,0.00459304022469479,1.00459304022469,0.80178742,1.17104532
15,0.00499560248143364,1.00499560248143,0.80178742,1.17104532
16,0.00539811014586785,1.00539811014587,0.80178742,1.17104532
17,0.00580056312818313,1.00580056312818,0.80178742,1.17104532
18,0.00620296133867024,1.00620296133867,0.80178742,1.17104532
19,0.0066053046871962,1.0066053046872,0.80178742,1.17104532
20,0.00700759308361555,1.00700759308362,0.80178742,1.17104532
21,0.00740982643756402,1.00740982643756,0.80178742,1.17104532
22,0.00781200465850019,1.0078120046585,0.80178742,1.17104532
23,0.00821412765578426,1.00821412765578,0.80178742,1.17104532
24,0.008616195338244,1.00861619533824,0.80178742,1.17104532
25,0.00901820761501013,1.00901820761501,0.80178742,1.17104532
26,0.00942016439476192,1.00942016439476,0.80178742,1.17104532
27,0.00982206558595549,1.00982206558596,0.80178742,1.17104532
28,0.0102239110969952,1.010223911097,0.80178742,1.17104532
29,0.0106257008360584,1.01062570083606,0.80178742,1.17104532
30,0.0110274347110333,1.01102743471103,0.80178742,1.17104532
31,0.0114291126297609,1.01142911262976,0.80178742,1.17104532
32,0.0118307344998041,1.0118307344998,0.80178742,1.17104532
