lambda,V5,V7,V3,tap9,B5,Qshunt5,Pg1,Pg2,Pg2_requested,Qg2,Qc2,C2mode,C2Vdc,Ic1,Ic2,Ic3,Uc1,Uc2,Uc3,AC_error_MVA,DC_error_MW,bridge_error_MW,station_U_error_pu,station_I_error_pu,station_S_error_MVA,loss_error_MW,PQ_schedule_error,cap_margin_MVA,bus6_type,Pload5,Qload5
1.09933162196798,0.79040655619389,0.953738266170753,1,1.01111111111111,15,9.37113786111428,344.634125296952,150,303.839589272315,56.573716378177,124.565272585338,2,1,0.497192067017532,0.841189963081106,0.298203827572452,0.950080162646198,1.04898393157676,0.79348111461586,1.72375095995142e-10,1.32160948851379e-12,2.56461518688411e-13,7.66053886991358e-15,1.70030656221343e-13,2.37529311649428e-11,4.44089209850063e-16,8.35953528621758e-11,23.8215055378273,2,323.839589272315,53.9732648787191
1.11734496808702,0.783198923651051,0.952715140567905,1,1.01111111111111,15,9.20100831012247,351.755570415964,150,308.162792340884,59.7280533271138,129.323985177608,2,1,0.498008186107293,0.87248402131248,0.3009481413697,0.948469047993102,1.05085393797259,0.786305430990637,3.46635119815109e-10,6.96331881044898e-13,6.27053964308288e-13,5.97299987248334e-14,1.00774943945225e-12,1.6778752987755e-10,2.22044604925031e-16,8.15418843558291e-11,19.1273968032792,2,328.162792340884,54.6937987234807
1.13438370016632,0.776050493367481,0.951699886468372,1,1.01111111111111,15,9.03381552383867,358.64840183572,150,312.252088039917,62.8561938843786,134.045550813877,2,1,0.498820176870914,0.903562521620983,0.303720263577534,0.946871234045967,1.05270934464324,0.779189374767204,3.67778619732765e-10,1.67688085639384e-12,1.16351372980716e-13,8.79296635503124e-14,1.72950542776107e-12,2.49626502079732e-10,0,1.31869626329717e-10,14.4656217568413,2,332.252088039917,55.3753480066528
1.15047556713465,0.768964792189564,0.950693170582528,1,1.01111111111111,15,8.8696027744071,365.315462780312,150,316.114136112316,65.9557869008258,138.726478975055,2,1,0.499627372504477,0.934398968732849,0.306518923609419,0.94528792346966,1.05454878002214,0.772136461874847,1.92994059780039e-10,9.09494701772928e-13,8.70414851306123e-14,1.53321799700734e-13,7.80597808613948e-13,3.02123950862689e-10,4.44089209850063e-16,2.36901165351355e-10,9.84015469009811,2,336.114136112316,56.019022685386
1.16564996178777,0.76194458926999,0.949695540477728,1,1.01111111111111,15,8.70839335676722,371.760398422511,150,319.755990829064,69.0248810304686,143.363866955262,2,1,0.500429202931962,0.96497116872333,0.309343046350787,0.943720114924692,1.05637110353567,0.765149452741121,3.63348568082604e-10,7.53175299905706e-13,6.14175377222637e-13,1.24789067967868e-13,2.20290452546124e-12,3.7404566846412e-10,0,6.44178044240107e-11,5.25432469117011,2,339.755990829064,56.6259984715107
1.17993737677756,0.754991965589955,0.948707434545931,1,1.01111111111111,15,8.55019302158076,377.987507539006,150,323.184970426615,72.0618922068369,147.955352512748,2,1,0.501225188034467,0.995260862202776,0.312191746585512,0.94216861962964,1.05817538699627,0.758230421779054,1.41876803944051e-10,2.18847162614111e-12,7.65609797781508e-13,9.85878045867139e-14,1.03084207836446e-12,2.28305911554951e-10,4.44089209850063e-16,1.57456270244438e-10,0.710870669707353,2,343.184970426615,57.1974950711025
1.19336892792511,0.744613121896313,0.965713510694996,0.996213342066003,0.988888888888889,15,8.3167305195026,384.473715298823,150,326.408542702025,77.6530871862568,148.019407439279,1,1,0.502697251147414,0.999459944757934,0.316543253756339,0.939312088843549,1.0546353052958,0.747903107963155,6.80363427435284e-10,1.25346844015439e-10,2.55129251058861e-13,7.07212066686225e-14,1.09223741162623e-12,1.83422061247995e-10,0,1.76108017058141e-10,0.0807015354766292,2,346.408542702025,57.7347571170042
1.21059083908265,0.728620141647334,0.958227554468638,0.989798403601343,0.988888888888889,15,7.96330966221271,393.530701314903,150,330.541801379837,86.4112471678287,147.108695702077,1,1,0.505020575296965,0.999851715372968,0.323491277422289,0.93483703998663,1.04823775287945,0.73199295330683,1.46170847673264e-08,2.76648393082723e-09,3.58246765586046e-12,1.55653268052447e-13,2.90434343241941e-12,5.61248709260469e-10,2.22044604925031e-16,2.77159983852471e-09,0.0220157834984549,2,350.541801379837,58.4236335633061
1.22548775272265,0.711975271541899,0.950437084092201,0.983121834327093,0.988888888888889,15,7.60363180930742,402.266546962847,150,334.117060653437,95.4921464129511,146.119827497018,1,1,0.50745229315591,0.999989966124774,0.331053998291223,0.930196404956718,1.0415631321751,0.715439017347052,5.35176711077717e-08,1.01697992249683e-08,5.05906427861191e-12,1.0902390101819e-13,2.45203857218712e-12,8.13402198967295e-10,0,1.01797184015595e-08,0.00147967863428958,2,354.117060653437,59.0195101089061
1.23787197523071,0.694502817222783,0.964145003380713,0.976079935698214,0.966666666666667,15,7.23501244695573,410.673906535869,150,337.08927405537,104.989193193304,144.937381632054,1,1,0.510020619334152,0.999195669207816,0.339382727542942,0.925342354534174,1.03446717556422,0.698067670872795,3.94885405330675e-10,2.65387711806397e-11,1.09579012530503e-12,3.59712259978551e-14,5.78870285039557e-13,1.04210946607296e-10,2.22044604925031e-16,3.70192765331012e-11,0.117763672272028,2,357.08927405537,59.5148790092283
1.24267682731736,0.685316639377905,0.959514843827522,0.972109213245319,0.966666666666667,15,7.04488344312339,414.630040996107,150,338.242438556166,110.03946652679,143.845364693832,1,1,0.511396999289345,0.995857727725933,0.343931909509125,0.922760785381228,1.03029372103853,0.688937153292665,8.47189564108351e-10,6.1804428241885e-10,2.12441175762024e-11,8.03801469828613e-14,1.36346489654215e-12,2.24143395573413e-10,2.22044604925031e-16,6.08089578690851e-10,0.604011156009802,2,358.242438556166,59.7070730926944
1.24497809323434,0.681212663275821,0.957681007299815,0.970619642615483,0.966666666666667,15,6.96076038911005,416.505365916134,150,338.794742376241,112.210655345929,143.845364691768,1,1,0.511991011116431,0.997382199652596,0.346003931307575,0.921650861797349,1.02889352186904,0.684858632115099,2.63696834521877e-07,1.26217976514909e-07,1.13524745160021e-11,3.14193115968919e-12,2.48105980205082e-11,6.3421958116628e-09,0,1.30177149060273e-07,0.381133265683702,2,358.794742376241,59.7991237293735
