lambda,V5,V7,V3,tap9,B5,Qshunt5,Pg1,Pg2,Pg2_requested,Qg2,Qc2,C2mode,C2Vdc,Ic1,Ic2,Ic3,Uc1,Uc2,Uc3,AC_error_MVA,DC_error_MW,bridge_error_MW,station_U_error_pu,station_I_error_pu,station_S_error_MVA,loss_error_MW,PQ_schedule_error,cap_margin_MVA,bus6_type,Pload5,Qload5,load_interpolation_error,generator_projection_error
1.06334969855383,0.803882746793579,0.955649203467069,1,1.01111111111111,15,9.69341205888584,330.849796328952,150,295.203927652919,50.6782764467903,115.677258867175,2,1,0.495673891897721,0.782830786534639,0.293204775616559,0.953091113506716,1.04549124904247,0.806899360722622,9.34514548575465e-11,1.58451030074502e-12,2.84439138908965e-13,6.28386231937839e-14,1.10178532963801e-12,1.80637603846679e-10,0,9.50848288994166e-11,32.5753820199695,2,315.203927652919,52.5339879421532,0,0
1.10210863553546,0.789317134200768,0.953583663317469,1,1.01111111111111,15,9.34532307514369,345.72164978782,150,304.506072528511,57.0504738829944,125.284371873011,2,1,0.497315246527612,0.845916884443065,0.298615410945134,0.949836658293751,1.04926651241142,0.792396477887433,1.9688804081025e-10,1.27897692436818e-12,1.46327394645596e-13,5.73985303731206e-14,8.77964367873574e-13,1.4909317060421e-10,2.22044604925031e-16,1.97374561139441e-10,23.1124673334085,2,324.506072528511,54.0843454214185,0,0
1.13687950864038,0.774973879155594,0.951546944341887,1,1.01111111111111,15,9.00876770060204,359.671963110517,150,312.851082073691,63.3272417516673,134.756755392614,2,1,0.49894267904363,0.908246141026183,0.30414219980209,0.946630621983857,1.05298882244773,0.778117697105276,4.46936464138298e-11,1.4139800441626e-12,4.21218615542784e-13,1.02806652080289e-13,1.74282810405657e-12,2.90370778151314e-10,2.22044604925031e-16,1.65293556619872e-10,13.7630788458112,2,332.851082073691,55.4751803456152,0,0
1.16787768354988,0.76088356635287,0.9495447498316,1,1.01111111111111,15,8.68415702318794,372.720686248005,150,320.290644051971,69.4885329061111,144.064667727004,2,1,0.500550560207565,0.96959305306996,0.309774413350939,0.943483257435377,1.05664649236989,0.764093509505893,1.63707297992378e-10,1.70530256582424e-12,6.87672141452822e-13,1.20348175869367e-13,1.3399281684201e-12,2.80444499881824e-10,0,3.28739702126768e-10,4.56104203957816,2,340.290644051971,56.7151073419951,0,0
1.19534391348395,0.74291176265306,0.96491934745491,0.995533651907923,0.988888888888889,15,8.27876830632415,385.470299004045,150,326.882539236147,78.5854149805999,147.929038723053,1,1,0.502943557897198,0.999541802035736,0.317268176710265,0.938835739207248,1.05395986412068,0.74621035867784,1.36201732082397e-09,2.61572097315366e-10,1.12354570092066e-12,3.90798504668055e-14,5.78925796190788e-13,9.22045769376066e-11,4.44089209850063e-16,2.33114860748174e-10,0.0684227239534806,2,346.882539236147,57.8137565393578,0,0
1.22709329197528,0.70981603994902,0.949373793785538,0.982190172729061,0.988888888888889,15,7.55758215853364,403.30743356687,150,334.502390074067,96.6858177531722,145.873340265871,1,1,0.507773681001333,0.999280677288196,0.332061051215874,0.929586348098357,1.04058833633298,0.713291956916384,5.20590711553151e-10,6.08082473263494e-11,7.30748794808278e-13,1.42885703269258e-13,9.72943947630256e-13,2.6625106747445e-10,2.22044604925031e-16,2.82228462822331e-10,0.105976754677357,2,354.502390074067,59.0837316790111,0,1.4210854715202e-14
1.23926208807401,0.690734013930923,0.961880173643718,0.974007797557726,0.966666666666667,15,7.15670217001686,412.048808147562,150,337.422901137761,107.188073992679,143.721274015141,1,1,0.510618981518784,0.993081134720383,0.341234477587307,0.924218370646538,1.03202872653942,0.694321486729695,1.94021409107623e-09,4.70379291073186e-12,3.60156349188401e-13,5.7065463465733e-14,8.53872528239208e-13,1.43586910681311e-10,0,1.34257049921871e-10,1.01085430976499,2,357.422901137761,59.5704835229602,0,0
1.24413407634944,0.682557717832474,0.958222713188632,0.971035897719035,0.966666666666667,15,6.98827557259012,415.851619436073,150,338.592178323865,111.519741469047,143.721274015129,1,1,0.511801835590519,0.996112920158331,0.345322093996749,0.922004065194458,1.02923455783407,0.686195303076923,2.22804739185091e-10,1.21502807814977e-12,3.46167539078124e-13,8.14903700074865e-14,7.84150522292748e-13,1.85114644349529e-10,2.22044604925031e-16,9.09849973140808e-11,0.566174109612381,2,358.592178323865,59.7653630539775,0,1.4210854715202e-14
1.24469750323926,0.681530292334234,0.957763765665877,0.970663146598667,0.966666666666667,15,6.96725309053779,416.318154618288,150,338.727400777424,112.06303091294,143.721274015309,1,1,0.5119505791044,0.996494483102352,0.345842676464015,0.92172632951372,1.02888417554361,0.685174277808141,1.01198266432322e-09,4.84860152027977e-10,4.90718576884319e-13,2.95319324550292e-14,5.45896661208189e-13,9.73067998446014e-11,2.22044604925031e-16,5.18710407959588e-10,0.510401409269437,2,358.727400777424,59.7879001295706,0,0
1.24497539658434,0.681016133551973,0.957534148022415,0.970476668580664,0.966666666666667,15,6.95674461237119,416.550679411842,150,338.794095180242,112.334823981012,143.72127401508,1,1,0.512025023915122,0.996685478631946,0.346103783423884,0.921587384872408,1.02870889454212,0.68466333071711,2.98226550086529e-10,3.06314973386179e-11,6.22835116814713e-13,7.63833440942108e-14,1.05127018201756e-12,1.71345154540824e-10,2.22044604925031e-16,7.33626492888106e-11,0.482499848434353,2,358.794095180242,59.7990158633736,0,0
1.24511338700403,0.680758943189516,0.957419303556383,0.970383404233635,0.966666666666667,15,6.9514910809876,416.666755559937,150,338.827212880968,112.4707571947,143.721274015309,1,1,0.512062264486798,0.996781029679872,0.346234541247448,0.921517893559111,1.02862123184024,0.684407749102654,1.32707922905727e-10,2.33058017329313e-12,4.86055640180894e-13,7.74935671188359e-14,1.35491617925254e-12,2.2175478719887e-10,0,9.38822353191426e-11,0.468545306408752,2,358.827212880968,59.8045354801613,0,1.4210854715202e-14
1.24514778493843,0.680392757987015,0.957233072049628,0.970229130643724,0.966666666666667,15,6.94401457681764,416.774906691544,150,338.835468385223,112.5,143.721274002224,1,1,0.512139965370025,0.996939134881707,0.346420882560641,0.921372934674873,1.02847622662515,0.684043856962433,6.03347712997058e-07,1.03841763632317e-07,4.52895498881389e-11,8.27782287160517e-13,1.57419632884626e-11,4.90431610131574e-09,0,1.04824692925831e-07,0.445461075862497,1,358.835468385223,59.8059113975371,0,0
