solver,success,seconds,physical_buses_compared,max_dVM,rms_dVM,max_dVA,failure
runpf,1,5.6199146,4650,0.202969783685543,0.0196673592046155,6.48437433877976,
runpf_psse,1,123.3760569,4650,0.0353635862841063,0.00284373560184581,3.2271441114153,
