case_name,success,seconds,error,max_dVM,max_dVA,buses_compared,voltage_review
suite_u_ultc_2bus_ntp10_lowv.raw,1,0.4534776,,2.6505178263303e-07,2.44116263736771e-06,2,0
suite_u_ultc_2bus_tab.raw,1,0.4670804,,2.11712250034468e-05,0.000517088479746519,2,0
suite_u_ultc_3bus_remote.raw,1,0.3820975,,1.56116244226512e-05,0.00056599317816719,3,0
suite_u_ultc_3bus_remote_cont_pos.raw,1,0.3247769,,2.49872606513657e-05,0.00117823200486455,3,0
suite_u_ultc_3bus_remote_limit.raw,1,0.4907473,,1.75067955426877e-05,0.00112831200725161,3,0
suite_u_ultc_3w_tab.raw,1,0.6460001,,0.000146603770603937,0.00790452951889442,4,0
suite_u_ultc_3w_tab_cw2.raw,1,0.4344752,,0.000146603770603937,0.00790452951889442,4,0
suite_u_ultc_3w_w2.raw,1,0.4356215,,6.46401181501055e-05,0.00218464917569605,4,0
suite_u_ultc_3w_w2_cw2.raw,1,0.3507864,,6.46401181501055e-05,0.00218464917569605,4,0
suite_u_ultc_3w_w3.raw,1,0.4330321,,3.00602312771625e-05,0.000684611234156307,4,0
