step_index,lambda,min_VM_pu,max_VM_pu
1,0,0.990259398750071,1.06
2,0.0480032705390103,0.98888110622968,1.06
3,0.095917723529024,0.987493908981853,1.06
4,0.143734049853587,0.98609802016934,1.06
5,0.191446075536176,0.984693567736229,1.06
6,0.239049534026348,0.983280627288475,1.06
7,0.286541107969498,0.981859248594174,1.06
8,0.333917794818074,0.980429473663003,1.06
9,0.3811765345731,0.978991347753247,1.06
10,0.42831401556458,0.977544925459299,1.06
11,0.475326589102565,0.976090273719179,1.06
12,0.522210245798959,0.97462747304005,1.06
13,0.568960624407158,0.973156617741073,1.06
14,0.615573036351049,0.971677815702188,1.06
15,0.662042496697028,0.970191187880022,1.06
16,0.70836375679328,0.96869686773249,1.06
17,0.754531336278256,0.967195000626032,1.06
18,0.800539553508722,0.965685743252472,1.06
19,0.846382554151754,0.9641692630697,1.06
20,0.892054337999927,0.962645737762231,1.06
21,0.937548784233186,0.961115354720539,1.06
22,0.982859675351838,0.95957831052846,1.06
23,1.02798072003678,0.958034810456664,1.06
24,1.07290557509939,0.956485067951815,1.06
25,1.11762786672356,0.954929304121021,1.06
26,1.16214121106092,0.953367747204446,1.06
27,1.20643923429986,0.951800632034153,1.06
28,1.2505155922229,0.950228199482078,1.06
29,1.29436398927509,0.95272357299724,1.06
30,1.33805527008198,0.951136379926008,1.06
31,1.3815074463013,0.953645207911801,1.06
32,1.42479497889371,0.952044101081638,1.06
33,1.46783249613293,0.950443149422499,1.06
34,1.50906125401351,0.953033378406613,1.06
35,1.55011430797013,0.951489456474042,1.06
36,1.5909053199733,0.949943488420799,1.06
37,1.63142869349551,0.948395752123602,1.06
38,1.67167901648536,0.946846526058852,1.06
39,1.71165107496075,0.945296088202201,1.06
40,1.75133986636763,0.943744715348609,1.06
41,1.79074061185469,0.942192682445447,1.06
42,1.82984876736177,0.940640261942997,1.06
43,1.86866003351164,0.939087723167418,1.06
44,1.90717036424525,0.937535331718906,1.06
45,1.94537597416815,0.93451260720004,1.06
46,1.99061771697406,0.931942707955121,1.06
47,2.03579636348466,0.929344866747977,1.06
48,2.08090993458524,0.926718472064323,1.06
49,2.12595636117513,0.9240628890543,1.06
50,2.17093347924085,0.921502732680156,1.06
51,2.21585384385736,0.918791551715249,1.06
52,2.26070087176129,0.916049310060149,1.06
53,2.30547211499076,0.913275276684587,1.06
54,2.35016500647105,0.906271948892463,1.06
55,2.38935321253561,0.898773800721546,1.06
56,2.42801877288693,0.891663422863904,1.06
57,2.46618802429249,0.88383146409832,1.06
58,2.50375227409579,0.869859713304213,1.06
59,2.5403306887546,0.862212004445768,1.06
60,2.57626155992141,0.853674489362146,1.06
61,2.61139017132408,0.844914326760069,1.06
62,2.64564391760841,0.836791962441559,1.06
63,2.67908031877032,0.827600770472052,1.06
64,2.71148973302085,0.811093963301682,1.06
65,2.74210601831454,0.801207739294133,1.06
66,2.77142345334457,0.791049494016939,1.06
67,2.7993212496859,0.780613311328043,1.06
68,2.8256695601568,0.769895181290157,1.06
69,2.85033044007157,0.74779437510927,1.06
70,2.871463674602,0.736208588024219,1.06
71,2.89046473589026,0.724347583234097,1.06
72,2.90718394113907,0.712225447882505,1.06
73,2.91464090596082,0.68624851211974,1.06
74,2.92369948007252,0.673407405235678,1.06
75,2.92999530031736,0.660409233365851,1.06
76,2.93058505271814,0.658776229921932,1.06
77,2.93060719857674,0.658712404762064,1.06
78,2.93061410869532,0.658692458978362,1.06
79,2.93061842342854,0.658679992698542,1.06
80,2.9306190972061,0.658678044826213,1.06
81,2.93061920247409,0.658677740470768,1.06
82,2.93061921892198,0.65867769291522,1.06
