run_id,point_index,lambda,bus_row,bus_ext,VM,VA,base_kv,bus_type,physical
beerten_vsc,1,0,1,1,1.06,0,230,3,1
beerten_vsc,1,0,2,2,1,-2.38682116627768,230,2,1
beerten_vsc,1,0,3,3,1,-3.90050369886553,230,1,1
beerten_vsc,1,0,4,4,0.995768952001823,-4.26304801336645,230,1,1
beerten_vsc,1,0,5,5,0.990259398750071,-4.14543871558651,230,1,1
beerten_vsc,1,0,6,7,0.991028774047916,-5.40981157155937,230,1,1
beerten_vsc,2,0.0480032705390103,1,1,1.06,0,230,3,1
beerten_vsc,2,0.0480032705390103,2,2,1,-2.47684970880032,230,2,1
beerten_vsc,2,0.0480032705390103,3,3,1,-4.14188698681024,230,1,1
beerten_vsc,2,0.0480032705390103,4,4,0.995395338732829,-4.51226403594293,230,1,1
beerten_vsc,2,0.0480032705390103,5,5,0.988881106229681,-4.41608713952889,230,1,1
beerten_vsc,2,0.0480032705390103,6,7,0.990414274334322,-5.71528109963828,230,1,1
beerten_vsc,3,0.095917723529024,1,1,1.06,0,230,3,1
beerten_vsc,3,0.095917723529024,2,2,1,-2.56716287955662,230,2,1
beerten_vsc,3,0.095917723529024,3,3,1,-4.38355402317864,230,1,1
beerten_vsc,3,0.095917723529024,4,4,0.995019105057227,-4.76173619594511,230,1,1
beerten_vsc,3,0.095917723529024,5,5,0.987493908981853,-4.68716283629174,230,1,1
beerten_vsc,3,0.095917723529024,6,7,0.989796316006962,-6.02102515669606,230,1,1
beerten_vsc,4,0.143734049853587,1,1,1.06,0,230,3,1
beerten_vsc,4,0.143734049853587,2,2,1,-2.65774290793056,230,2,1
beerten_vsc,4,0.143734049853587,3,3,1,-4.62545826868402,230,1,1
beerten_vsc,4,0.143734049853587,4,4,0.994640318154952,-5.01141704810483,230,1,1
beerten_vsc,4,0.143734049853587,5,5,0.98609802016934,-4.95861868633232,230,1,1
beerten_vsc,4,0.143734049853587,6,7,0.98917501134829,-6.32698640192723,230,1,1
beerten_vsc,5,0.191446075536176,1,1,1.06,0,230,3,1
beerten_vsc,5,0.191446075536176,2,2,1,-2.74857781688068,230,2,1
beerten_vsc,5,0.191446075536176,3,3,1,-4.86756890624951,230,1,1
beerten_vsc,5,0.191446075536176,4,4,0.994259022374348,-5.26127535077491,230,1,1
beerten_vsc,5,0.191446075536176,5,5,0.984693567736229,-5.2304250163218,230,1,1
beerten_vsc,5,0.191446075536176,6,7,0.988550434720278,-6.63312730983772,230,1,1
beerten_vsc,6,0.239049534026348,1,1,1.06,0,230,3,1
beerten_vsc,6,0.239049534026348,2,2,1,-2.83965931095945,230,2,1
beerten_vsc,6,0.239049534026348,3,3,1,-5.10986504996915,230,1,1
beerten_vsc,6,0.239049534026348,4,4,0.993875248087817,-5.5112900447021,230,1,1
beerten_vsc,6,0.239049534026348,5,5,0.983280627288475,-5.50256299856477,230,1,1
beerten_vsc,6,0.239049534026348,6,7,0.987922637315747,-6.93942273492809,230,1,1
beerten_vsc,7,0.286541107969498,1,1,1.06,0,230,3,1
beerten_vsc,7,0.286541107969498,2,2,1,-2.9309810460266,230,2,1
beerten_vsc,7,0.286541107969498,3,3,1,-5.35233105380383,230,1,1
beerten_vsc,7,0.286541107969498,4,4,0.993489018850508,-5.76144539688378,230,1,1
beerten_vsc,7,0.286541107969498,5,5,0.981859248594174,-5.77501936476041,230,1,1
beerten_vsc,7,0.286541107969498,6,7,0.987291659014739,-7.24585394283654,230,1,1
beerten_vsc,8,0.333917794818074,1,1,1.06,0,230,3,1
beerten_vsc,8,0.333917794818074,2,2,1,-3.02253743251743,230,2,1
beerten_vsc,8,0.333917794818074,3,3,1,-5.59495329809931,230,1,1
beerten_vsc,8,0.333917794818074,4,4,0.993100356293786,-6.01172768721651,230,1,1
beerten_vsc,8,0.333917794818074,5,5,0.980429473663003,-6.04778282117532,230,1,1
beerten_vsc,8,0.333917794818074,6,7,0.986657536447938,-7.55240455453044,230,1,1
beerten_vsc,9,0.3811765345731,1,1,1.06,0,230,3,1
beerten_vsc,9,0.3811765345731,2,2,1,-3.11432289541175,230,2,1
beerten_vsc,9,0.3811765345731,3,3,1,-5.83771822422322,230,1,1
beerten_vsc,9,0.3811765345731,4,4,0.992709283110306,-6.26212319129304,230,1,1
beerten_vsc,9,0.3811765345731,5,5,0.978991347753247,-6.32084188132106,230,1,1
beerten_vsc,9,0.3811765345731,6,7,0.986020307886257,-7.85905808898165,230,1,1
beerten_vsc,10,0.42831401556458,1,1,1.06,0,230,3,1
beerten_vsc,10,0.42831401556458,2,2,1,-3.20633145667549,230,2,1
beerten_vsc,10,0.42831401556458,3,3,1,-6.08061124269687,230,1,1
beerten_vsc,10,0.42831401556458,4,4,0.992315824708005,-6.51261706702074,230,1,1
beerten_vsc,10,0.42831401556458,5,5,0.977544925459299,-6.59418368118915,230,1,1
beerten_vsc,10,0.42831401556458,6,7,0.985380015926153,-8.16579661624654,230,1,1
beerten_vsc,11,0.475326589102565,1,1,1.06,0,230,3,1
beerten_vsc,11,0.475326589102565,2,2,1,-3.29855652229343,230,2,1
beerten_vsc,11,0.475326589102565,3,3,1,-6.32361619116505,230,1,1
beerten_vsc,11,0.475326589102565,4,4,0.991920010029453,-6.76319280818319,230,1,1
beerten_vsc,11,0.475326589102565,5,5,0.976090273719179,-6.86779340705863,230,1,1
beerten_vsc,11,0.475326589102565,6,7,0.984736708798453,-8.47260010452253,230,1,1
beerten_vsc,12,0.522210245798959,1,1,1.06,0,230,3,1
