run_id,point_index,lambda,branch_row,from_bus_ext,to_bus_ext,PF,QF,PT,QT,RATE_A,MVA_F,MVA_T,loading_pct,status
beerten_vsc,1,0,1,1,2,98.476695250072,71.3363319225366,-95.7570770465356,-69.5482773119277,250,121.599883879623,118.348555891286,48.6399535518493,1
beerten_vsc,1,0,2,1,3,35.29647673549,12.9485487079917,-34.232652163597,-15.0660749923127,250,37.5966246301742,37.4013514438691,15.0386498520697,1
beerten_vsc,1,0,3,2,3,13.26599460532,-6.22813446782697,-13.1496763649522,2.57708918893053,250,14.6552472451922,13.3998275060049,5.86209889807688,1
beerten_vsc,1,0,4,2,4,17.0951274940039,-5.05121303818556,-16.9141955229795,1.61089733971709,250,17.8257717138244,16.990732780804,7.13030868552977,1
beerten_vsc,1,0,5,2,5,25.3441963475804,-1.44220970239927,-25.087263696291,-0.757912858952193,250,25.3851976027448,25.0987097610417,10.1540790410979,1
beerten_vsc,1,0,6,3,4,23.1533151835673,5.45216973717944,-23.0955445337366,-7.27041359345847,250,23.7865962010672,24.2128703612305,9.68514814449221,1
beerten_vsc,1,0,7,4,5,-0.0729876222709451,-0.167760538192549,0.0773013638126143,-4.74972194364157,250,0.182950242359555,4.75035093890521,1.90014037556208,1
beerten_vsc,1,0,8,4,7,40.0827276787463,5.82727679218533,-39.9999999995056,-4.99999999977831,250,40.5041011871795,40.3112887409747,16.2016404748718,1
beerten_vsc,2,0.0480032705390103,1,1,2,101.008138998479,70.6103032401433,-98.2178492546971,-68.6102340087985,250,123.241466510266,119.808639600659,49.2965866041063,1
beerten_vsc,2,0.0480032705390103,2,1,3,37.0061387310887,12.5091446416079,-35.8640241999062,-14.3918010480604,250,39.0631924380132,38.6439150348203,15.6252769752053,1
beerten_vsc,2,0.0480032705390103,3,2,3,14.598516816811,-6.6316038250275,-14.4577757484653,3.05382703006455,250,16.0341779503295,14.7767770208008,6.41367118013179,1
beerten_vsc,2,0.0480032705390103,4,2,4,18.5489478741567,-5.27593197468969,-18.3360707556321,1.93293956952151,250,19.2846811080644,18.4376719282823,7.71387244322576,1
beerten_vsc,2,0.0480032705390103,5,2,5,28.0188303692854,-1.10190217251513,-27.7047450344282,-0.922670586300141,250,28.0404893620027,27.7201049499005,11.2161957448011,1
beerten_vsc,2,0.0480032705390103,6,3,4,23.928923349536,6.4418874419777,-23.8661258433994,-8.24430680393883,250,24.7808653295861,25.249961533643,10.0999846134572,1
beerten_vsc,2,0.0480032705390103,7,4,5,0.191092283470737,0.161615972715899,-0.185441186716238,-5.06640698902513,250,0.25027181910668,5.0697996224874,2.02791984899496,1
beerten_vsc,2,0.0480032705390103,8,4,7,42.0111043111881,6.14975126746996,-41.9201308195591,-5.24001635117981,250,42.4588309553769,42.246362438553,16.9835323821508,1
beerten_vsc,3,0.095917723529024,1,1,2,103.548729064207,69.8859766213422,-100.68491727856,-67.6653412644028,250,124.925533895722,121.309731579204,49.9702135582889,1
beerten_vsc,3,0.095917723529024,2,1,3,38.7196496801138,12.0764433363307,-37.4944537422926,-13.7098555228671,250,40.5592376038596,39.922352133746,16.2236950415439,1
beerten_vsc,3,0.095917723529024,3,2,3,15.9320924429192,-7.03154942177958,-15.7646036074031,3.53401592832796,250,17.4147712267676,16.1558656679307,6.96590849070703,1
beerten_vsc,3,0.095917723529024,4,2,4,20.0029978192026,-5.49505820525599,-19.7555966070347,2.25713580290186,250,20.7440494222843,19.8841207834951,8.29761976891372,1
beerten_vsc,3,0.095917723529024,5,2,5,30.6929261351168,-0.745984323897161,-30.3158764333667,-1.08558290126651,250,30.7019902831598,30.3353070556188,12.2807961132639,1
beerten_vsc,3,0.095917723529024,6,3,4,24.7053694665273,7.44010958472776,-24.6372103934994,-9.22569538507313,250,25.8013664582009,26.3078997890694,10.5231599156277,1
beerten_vsc,3,0.095917723529024,7,4,5,0.456491574052363,0.492906144338991,-0.449204937573359,-5.3840643341648,250,0.671819190190288,5.40277094002381,2.16110837600952,1
beerten_vsc,3,0.095917723529024,8,4,7,43.9363154227022,6.47565344332391,-43.8367089399967,-5.47958861626929,250,44.4109659931104,44.177855788772,17.7643863972442,1
beerten_vsc,4,0.143734049853587,1,1,2,106.097969689912,69.1635330669899,-103.157775911736,-66.7137517324609,250,126.650596045301,122.850524627599,50.6602384181206,1
beerten_vsc,4,0.143734049853587,2,1,3,40.4366550244486,11.6505591847833,-39.1235885086889,-13.0203596375042,250,42.0815707749177,41.2332989571191,16.8326283099671,1
beerten_vsc,4,0.143734049853587,3,2,3,17.2664583798833,-7.42789351364797,-17.0699028120954,4.01756021701162,250,18.7963876059826,17.5363158078228,7.51855504239303,1
beerten_vsc,4,0.143734049853587,4,2,4,21.4569831880872,-5.7085507253967,-21.1724899024771,2.58341185722817,250,22.2033708908869,21.3295181730522,8.88134835635475,1
beerten_vsc,4,0.143734049853587,5,2,5,33.3659538585309,-0.374492766350361,-32.9201324011619,-1.2466268196153,250,33.3680554081544,32.9437277146563,13.3472221632618,1
