run_id,point_index,lambda,busdc_row,dc_bus_ext,VDC,PDC
beerten_vsc,1,0,1,2,1,1.00801311468834
beerten_vsc,1,0,2,3,1,1
beerten_vsc,1,0,3,5,1,0.998012701937378
beerten_vsc,2,0.0480032705390103,1,2,1,1.00801310199411
beerten_vsc,2,0.0480032705390103,2,3,1,1
beerten_vsc,2,0.0480032705390103,3,5,1,0.998012671618042
beerten_vsc,3,0.095917723529024,1,2,1,1.00801308917441
beerten_vsc,3,0.095917723529024,2,3,1,1
beerten_vsc,3,0.095917723529024,3,5,1,0.998012640999019
beerten_vsc,4,0.143734049853587,1,2,1,1.00801307623015
beerten_vsc,4,0.143734049853587,2,3,1,1
beerten_vsc,4,0.143734049853587,3,5,1,0.998012610082514
beerten_vsc,5,0.191446075536176,1,2,1,1.00801306316148
beerten_vsc,5,0.191446075536176,2,3,1,1
beerten_vsc,5,0.191446075536176,3,5,1,0.99801257886886
beerten_vsc,6,0.239049534026348,1,2,1,1.00801304996806
beerten_vsc,6,0.239049534026348,2,3,1,1
beerten_vsc,6,0.239049534026348,3,5,1,0.998012547357229
beerten_vsc,7,0.286541107969498,1,2,1,1.00801303664928
beerten_vsc,7,0.286541107969498,2,3,1,1
beerten_vsc,7,0.286541107969498,3,5,1,0.998012515546199
beerten_vsc,8,0.333917794818074,1,2,1,1.00801302320447
beerten_vsc,8,0.333917794818074,2,3,1,1
beerten_vsc,8,0.333917794818074,3,5,1,0.998012483434153
beerten_vsc,9,0.3811765345731,1,2,1,1.00801300963297
beerten_vsc,9,0.3811765345731,2,3,1,1
beerten_vsc,9,0.3811765345731,3,5,1,0.998012451019527
beerten_vsc,10,0.42831401556458,1,2,1,1.00801299593422
beerten_vsc,10,0.42831401556458,2,3,1,1
beerten_vsc,10,0.42831401556458,3,5,1,0.998012418300944
beerten_vsc,11,0.475326589102565,1,2,1,1.00801298210773
beerten_vsc,11,0.475326589102565,2,3,1,1
beerten_vsc,11,0.475326589102565,3,5,1,0.998012385277291
beerten_vsc,12,0.522210245798959,1,2,1,1.00801296815317
beerten_vsc,12,0.522210245798959,2,3,1,1
beerten_vsc,12,0.522210245798959,3,5,1,0.99801235194775
beerten_vsc,13,0.568960624407158,1,2,1,1.00801295407033
beerten_vsc,13,0.568960624407158,2,3,1,1
beerten_vsc,13,0.568960624407158,3,5,1,0.998012318311807
beerten_vsc,14,0.615573036351049,1,2,1,1.00801293985912
beerten_vsc,14,0.615573036351049,2,3,1,1
beerten_vsc,14,0.615573036351049,3,5,1,0.998012284369257
beerten_vsc,15,0.662042496697028,1,2,1,1.00801292551957
beerten_vsc,15,0.662042496697028,2,3,1,1
beerten_vsc,15,0.662042496697028,3,5,1,0.998012250120193
beerten_vsc,16,0.70836375679328,1,2,1,1.00801291105186
beerten_vsc,16,0.70836375679328,2,3,1,1
beerten_vsc,16,0.70836375679328,3,5,1,0.998012215565006
beerten_vsc,17,0.754531336278256,1,2,1,1.00801289645626
beerten_vsc,17,0.754531336278256,2,3,1,1
beerten_vsc,17,0.754531336278256,3,5,1,0.99801218070437
beerten_vsc,18,0.800539553508722,1,2,1,1.00801288173317
beerten_vsc,18,0.800539553508722,2,3,1,1
beerten_vsc,18,0.800539553508722,3,5,1,0.998012145539239
beerten_vsc,19,0.846382554151754,1,2,1,1.00801286688311
beerten_vsc,19,0.846382554151754,2,3,1,1
beerten_vsc,19,0.846382554151754,3,5,1,0.998012110070839
beerten_vsc,20,0.892054337999927,1,2,1,1.00801285190669
beerten_vsc,20,0.892054337999927,2,3,1,1
beerten_vsc,20,0.892054337999927,3,5,1,0.998012074300659
beerten_vsc,21,0.937548784233186,1,2,1,1.00801283680466
beerten_vsc,21,0.937548784233186,2,3,1,1
beerten_vsc,21,0.937548784233186,3,5,1,0.998012038230446
