run_id,event_index,event_name,family,k,idx,lambda,message,payload
beerten_vsc,11,PSSE_CONTROL_SELECTIVE_FREEZE,psse_control,64,1,2.742106,"Selective PSS/E control freeze at lambda = 2.742106; locked xfmr rows [1] at blocked control limit and continuing remaining PSS/E discrete controls.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=[0x0]; backoff_lambda=[0x0]; relief_action=[0x0]; margin_old=[0x0]; margin_new=[0x0]; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[0x0]; vsc_margin_final=[0x0]
beerten_vsc,12,PSSE_CONTROL_FREEZE,psse_control,72,1,2.91464,"Reached VSC-MTDC monolithic PSS/E control loading limit in 72 continuation steps, lambda = 2.91464; freezing PSS/E discrete controls and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=[0x0]; backoff_lambda=[0x0]; relief_action=[0x0]; margin_old=[0x0]; margin_new=[0x0]; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[0x0]; vsc_margin_final=[0x0]
beerten_vsc,13,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.05 to 0.055 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.05; margin_new=0.055; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,14,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.055 to 0.06 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.055; margin_new=0.06; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,15,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.06 to 0.065 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.06; margin_new=0.065; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,16,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.065 to 0.07 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.065; margin_new=0.07; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,17,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.07 to 0.075 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.07; margin_new=0.075; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,18,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.075 to 0.08 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.075; margin_new=0.08; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,19,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.08 to 0.085 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.08; margin_new=0.085; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
beerten_vsc,20,VSC_CAPABILITY_MARGIN_INCREASE,vsc_capability,81,1,2.93062,"Reached VSC-MTDC monolithic VSC capability loading limit in 81 continuation steps, lambda = 2.93062; increasing VSC saturation margin from 0.085 to 0.09 and continuing CPF.",gen_idx=[0x0]; bus=[0x0]; lambda_event=[0x0]; lambda_candidate=[0x0]; lambda_previous=[0x0]; event_location_method=[0x0]; P_candidate=[0x0]; Q_candidate=[0x0]; margin_candidate=[0x0]; margin_previous=[0x0]; previous_margin_error=[0x0]; margin_event=[0x0]; active_limit=[0x0]; P_projected=[0x0]; Q_projected=[0x0]; S_projected=[0x0]; Smax=[0x0]; gen_type_code=[0x0]; gen_type=[0x0]; bisection_iterations=[0x0]; location_error=[0x0]; P_final=[0x0]; Q_final=[0x0]; V_final=[0x0]; margin_final=[0x0]; inside_final=[0x0]; final_error=[0x0]; vsc_idx=[0x0]; V_candidate=[0x0]; projection_mode=[0x0]; policy_reason=[0x0]; target_ac_mode_if_saturated=[0x0]; from_ac_mode=[0x0]; to_ac_mode=[0x0]; Vmax=[0x0]; Smax_source=[0x0]; Vmax_source=[0x0]; mode_source=[0x0]; lambda_freeze=2.93062; backoff_lambda=0; relief_action=margin_increase; margin_old=0.085; margin_new=0.09; frozen_vsc_idx=[0x0]; frozen_vsc_cols=[1x3]; vsc_margin_final=[0x0]
