run_id,source,lambda,gen_idx,bus_ext,P,Q,S,P_saturated,Q_saturated,S_saturated,sat,active_limit,margin,mode
beerten_vsc,final,NaN,1,1,626.10559888661,356.249765162176,720.362489400486,626.10559888661,356.249765162176,720.362489400486,0,slack_exempt,Inf,slack_exempt
beerten_vsc,final,NaN,2,2,160,120,200,160,120,200,0,overexcited_corner,0,post_solve_projection
