run_id,point_index,lambda,vsc_row,bus_ext,dc_bus_ext,PAC,QAC,PDC,VDC,VAC_PCC,VAC_INTERNAL,PLOSS
beerten_vsc,1,0,1,2,2,-60,-40,58.6710120921968,1.00801311468834,1,0.982845056350343,1.32898790780319
beerten_vsc,1,0,2,3,3,20.77098665482,8.15765848431316,-21.9297729271318,1,1,1.00316274406013,1.15878627248008
beerten_vsc,1,0,3,5,5,35,5,-36.2027500176849,0.998012701937378,0.990259398750071,0.992451532664003,1.20275001768493
beerten_vsc,2,0.0480032705390103,1,2,2,-60,-40,58.6710120921968,1.00801310199411,1,0.982845056350335,1.32898790780319
beerten_vsc,2,0.0480032705390103,2,3,3,20.7672705736818,11.0394984929434,-21.9295949789469,1,1,1.00428698097832,1.16232441057011
beerten_vsc,2,0.0480032705390103,3,5,5,35,5,-36.2029272439352,0.998012671618042,0.988881106229681,0.991076004088722,1.2029272439352
beerten_vsc,3,0.095917723529024,1,2,2,-60,-40,58.6710120921968,1.00801308917441,1,0.982845056350335,1.32898790780319
beerten_vsc,3,0.095917723529024,2,3,3,20.7626096741334,13.9462474886757,-21.9294152718646,1,1,1.00541840462018,1.16680560216042
beerten_vsc,3,0.095917723529024,3,5,5,35,5,-36.2031062219338,0.998012640999019,0.987493908981853,0.989691595209081,1.20310622193383
beerten_vsc,4,0.143734049853587,1,2,2,-60,-40,58.6710120921968,1.00801307623015,1,0.982845056350335,1.32898790780319
beerten_vsc,4,0.143734049853587,2,3,3,20.7570795427194,16.8774805897926,-21.9292338188161,1,1,1.0065568017546,1.17215427986381
beerten_vsc,4,0.143734049853587,3,5,5,35,5,-36.203286938803,0.998012610082514,0.98609802016934,0.988298518905521,1.203286938803
beerten_vsc,5,0.191446075536176,1,2,2,-60,-40,58.6710120921968,1.00801306316148,1,0.982845056350335,1.32898790780319
beerten_vsc,5,0.191446075536176,2,3,3,20.75075032429,19.8329481937763,-21.9290506217675,1,1,1.00770202862965,1.17830030074643
beerten_vsc,5,0.191446075536176,3,5,5,35,5,-36.2034693925839,0.99801257886886,0.984693567736229,0.986896903010004,1.20346939258386
beerten_vsc,6,0.239049534026348,1,2,2,-60,-40,58.6710120921968,1.00801304996806,1,0.982845056350334,1.32898790780319
beerten_vsc,6,0.239049534026348,2,3,3,20.7436825017396,22.8125101002407,-21.9288656758508,1,1,1.00885398478803,1.18518317700143
beerten_vsc,6,0.239049534026348,3,5,5,35,5,-36.2036535881291,0.998012547357229,0.983280627288475,0.985486823121604,1.20365358812907
beerten_vsc,7,0.286541107969498,1,2,2,-60,-40,58.6710120921968,1.00801303664928,1,0.982845056350335,1.32898790780319
beerten_vsc,7,0.286541107969498,2,3,3,20.7359258047745,25.8160811524695,-21.9286789727164,1,1,1.01001259165346,1.19275317053781
beerten_vsc,7,0.286541107969498,3,5,5,35,5,-36.203839533747,0.998012515546199,0.981859248594174,0.984068329054184,1.20383953374701
beerten_vsc,8,0.333917794818074,1,2,2,-60,-40,58.6710120921968,1.00801302320447,1,0.982845056350335,1.32898790780319
beerten_vsc,8,0.333917794818074,2,3,3,20.7275198670464,28.843593401994,-21.9284905028843,1,1,1.01117777774759,1.20097063819883
beerten_vsc,8,0.333917794818074,3,5,5,35,5,-36.2040272388835,0.998012483434153,0.980429473663003,0.98264146287964,1.20402723888353
beerten_vsc,9,0.3811765345731,1,2,2,-60,-40,58.6710120921968,1.00801300963297,1,0.982845056350335,1.32898790780319
beerten_vsc,9,0.3811765345731,2,3,3,20.7184956236846,31.8949725245411,-21.9283002571665,1,1,1.01234946956899,1.20980463565065
beerten_vsc,9,0.3811765345731,3,5,5,35,5,-36.2042167126881,0.998012451019527,0.978991347753247,0.981206269912635,1.20421671268811
beerten_vsc,10,0.42831401556458,1,2,2,-60,-40,58.6710120921968,1.00801299593422,1,0.982845056350335,1.32898790780319
beerten_vsc,10,0.42831401556458,2,3,3,20.7088768691667,34.9701243342894,-21.9281082274904,1,1,1.01352758646012,1.21923136032946
beerten_vsc,10,0.42831401556458,3,5,5,35,5,-36.204407963201,0.998012418300944,0.977544925459299,0.979762804785563,1.20440796320096
beerten_vsc,11,0.475326589102565,1,2,2,-60,-40,58.6710120921968,1.00801298210773,1,0.982845056350335,1.32898790780319
beerten_vsc,11,0.475326589102565,2,3,3,20.6986817001866,38.0689277192964,-21.9279144073163,1,1,1.01471203799722,1.22923270899445
beerten_vsc,11,0.475326589102565,3,5,5,35,5,-36.2046009969317,0.998012385277291,0.976090273719179,0.978311134449639,1.20460099693168
beerten_vsc,12,0.522210245798959,1,2,2,-60,-40,58.6710120921968,1.00801296815317,1,0.982845056350335,1.32898790780319
beerten_vsc,12,0.522210245798959,2,3,3,20.6879237438296,41.1912313768139,-21.9277187918443,1,1,1.01590272286564,1.23979504975424
beerten_vsc,12,0.522210245798959,3,5,5,35,5,-36.2047958186663,0.99801235194775,0.97462747304005,0.976851339397583,1.20479581866635
beerten_vsc,13,0.568960624407158,1,2,2,-60,-40,58.6710120921968,1.00801295407033,1,0.982845056350335,1.32898790780319
beerten_vsc,13,0.568960624407158,2,3,3,20.6766131581516,44.33685267893,-21.9275213780605,1,1,1.01709952856264,1.25090822153511
beerten_vsc,13,0.568960624407158,3,5,5,35,5,-36.2049924314015,0.998012318311807,0.973156617741073,0.975383513905593,1.2049924314015
beerten_vsc,14,0.615573036351049,1,2,2,-60,-40,58.6710120921968,1.00801293985912,1,0.982845056350335,1.32898790780319
