run_id,point_index,lambda,branchdc_row,from_dc_bus_ext,to_dc_bus_ext,PFDC,PTDC
beerten_vsc,1,0,1,2,3,0.304334017787432,-0.304334017787432
beerten_vsc,1,0,2,3,5,0.0850362885161123,-0.0850362885161123
beerten_vsc,1,0,3,2,5,0.27771210083212,-0.27771210083212
beerten_vsc,2,0.0480032705390103,1,2,3,0.304333535667008,-0.304333535667008
beerten_vsc,2,0.0480032705390103,2,3,5,0.0850375858775366,-0.0850375858775366
beerten_vsc,2,0.0480032705390103,3,2,5,0.277712590282431,-0.277712590282431
beerten_vsc,3,0.095917723529024,1,2,3,0.304333048781159,-0.304333048781159
beerten_vsc,3,0.095917723529024,2,3,5,0.0850388960625119,-0.0850388960625119
beerten_vsc,3,0.095917723529024,3,2,5,0.277713084570642,-0.277713084570642
beerten_vsc,4,0.143734049853587,1,2,3,0.304332557164899,-0.304332557164899
beerten_vsc,4,0.143734049853587,2,3,5,0.0850402189767382,-0.0850402189767382
beerten_vsc,4,0.143734049853587,3,2,5,0.277713583661154,-0.277713583661154
beerten_vsc,5,0.191446075536176,1,2,3,0.304332060823568,-0.304332060823568
beerten_vsc,5,0.191446075536176,2,3,5,0.0850415546058969,-0.0850415546058969
beerten_vsc,5,0.191446075536176,3,2,5,0.277714087548579,-0.277714087548579
beerten_vsc,6,0.239049534026348,1,2,3,0.304331559743983,-0.304331559743983
beerten_vsc,6,0.239049534026348,2,3,5,0.0850429029854801,-0.0850429029854801
beerten_vsc,6,0.239049534026348,3,2,5,0.277714596246313,-0.277714596246313
beerten_vsc,7,0.286541107969498,1,2,3,0.304331053903511,-0.304331053903511
beerten_vsc,7,0.286541107969498,2,3,5,0.0850442641763435,-0.0850442641763435
beerten_vsc,7,0.286541107969498,3,2,5,0.2777151097773,-0.2777151097773
beerten_vsc,8,0.333917794818074,1,2,3,0.304330543276472,-0.304330543276472
beerten_vsc,8,0.333917794818074,2,3,5,0.0850456382476277,-0.0850456382476277
beerten_vsc,8,0.333917794818074,3,2,5,0.277715628167636,-0.277715628167636
beerten_vsc,9,0.3811765345731,1,2,3,0.304330027837972,-0.304330027837972
beerten_vsc,9,0.3811765345731,2,3,5,0.0850470252663024,-0.0850470252663024
beerten_vsc,9,0.3811765345731,3,2,5,0.277716151442579,-0.277716151442579
beerten_vsc,10,0.42831401556458,1,2,3,0.304329507566135,-0.304329507566135
beerten_vsc,10,0.42831401556458,2,3,5,0.0850484252912326,-0.0850484252912326
beerten_vsc,10,0.42831401556458,3,2,5,0.277716679624339,-0.277716679624339
beerten_vsc,11,0.475326589102565,1,2,3,0.304328982443252,-0.304328982443252
beerten_vsc,11,0.475326589102565,2,3,5,0.0850498383700864,-0.0850498383700864
beerten_vsc,11,0.475326589102565,3,2,5,0.277717212730901,-0.277717212730901
beerten_vsc,12,0.522210245798959,1,2,3,0.304328452456319,-0.304328452456319
beerten_vsc,12,0.522210245798959,2,3,5,0.085051264537871,-0.085051264537871
beerten_vsc,12,0.522210245798959,3,2,5,0.277717750775477,-0.277717750775477
beerten_vsc,13,0.568960624407158,1,2,3,0.304327917597155,-0.304327917597155
beerten_vsc,13,0.568960624407158,2,3,5,0.0850527038165487,-0.0850527038165487
beerten_vsc,13,0.568960624407158,3,2,5,0.277718293766338,-0.277718293766338
beerten_vsc,14,0.615573036351049,1,2,3,0.304327377862497,-0.304327377862497
beerten_vsc,14,0.615573036351049,2,3,5,0.0850541562149509,-0.0850541562149509
beerten_vsc,14,0.615573036351049,3,2,5,0.27771884170683,-0.27771884170683
beerten_vsc,15,0.662042496697028,1,2,3,0.304326833253855,-0.304326833253855
beerten_vsc,15,0.662042496697028,2,3,5,0.0850556217290016,-0.0850556217290016
beerten_vsc,15,0.662042496697028,3,2,5,0.277719394595411,-0.277719394595411
beerten_vsc,16,0.70836375679328,1,2,3,0.304326283777393,-0.304326283777393
beerten_vsc,16,0.70836375679328,2,3,5,0.0850571003420782,-0.0850571003420782
beerten_vsc,16,0.70836375679328,3,2,5,0.277719952425802,-0.277719952425802
beerten_vsc,17,0.754531336278256,1,2,3,0.30432572944388,-0.30432572944388
beerten_vsc,17,0.754531336278256,2,3,5,0.0850585920252446,-0.0850585920252446
beerten_vsc,17,0.754531336278256,3,2,5,0.277720515187096,-0.277720515187096
beerten_vsc,18,0.800539553508722,1,2,3,0.304325170268462,-0.304325170268462
beerten_vsc,18,0.800539553508722,2,3,5,0.0850600967377263,-0.0850600967377263
beerten_vsc,18,0.800539553508722,3,2,5,0.277721082863906,-0.277721082863906
beerten_vsc,19,0.846382554151754,1,2,3,0.304324606270637,-0.304324606270637
beerten_vsc,19,0.846382554151754,2,3,5,0.0850616144270714,-0.0850616144270714
beerten_vsc,19,0.846382554151754,3,2,5,0.277721655436449,-0.277721655436449
beerten_vsc,20,0.892054337999927,1,2,3,0.304324037474085,-0.304324037474085
beerten_vsc,20,0.892054337999927,2,3,5,0.0850631450295549,-0.0850631450295549
beerten_vsc,20,0.892054337999927,3,2,5,0.277722232880682,-0.277722232880682
beerten_vsc,21,0.937548784233186,1,2,3,0.304323463906576,-0.304323463906576
beerten_vsc,21,0.937548784233186,2,3,5,0.0850646884704257,-0.0850646884704257
beerten_vsc,21,0.937548784233186,3,2,5,0.277722815168397,-0.277722815168397
beerten_vsc,22,0.982859675351838,1,2,3,0.304322885599886,-0.304322885599886
beerten_vsc,22,0.982859675351838,2,3,5,0.085066244664177,-0.085066244664177
beerten_vsc,22,0.982859675351838,3,2,5,0.277723402267337,-0.277723402267337
