run_id,point_index,lambda,source,trace_row,gen_idx,bus_ext,PG,QG,QMAX,QMIN,PMAX,PMIN,status,warmstart
beerten_vsc,23,1.02798072003678,cpf.gen,2,2,2,124.808409403035,1.67471522762418,300,-300,300,0,1,0
beerten_vsc,24,1.07290557509939,cpf.gen,1,1,1,233.798156061827,59.8997823699486,500,-500,500,-500,1,0
beerten_vsc,24,1.07290557509939,cpf.gen,2,2,2,128.514709945699,3.45114131078401,300,-300,300,0,1,0
beerten_vsc,25,1.11762786672356,cpf.gen,1,1,1,238.221777296183,58.9673432216877,500,-500,500,-500,1,0
beerten_vsc,25,1.11762786672356,cpf.gen,2,2,2,132.204299004694,5.25424879401942,300,-300,300,0,1,0
beerten_vsc,26,1.16214121106092,cpf.gen,1,1,1,242.646662217445,58.0467113115524,500,-500,500,-500,1,0
beerten_vsc,26,1.16214121106092,cpf.gen,2,2,2,135.876649912526,7.08364651351366,300,-300,300,0,1,0
beerten_vsc,27,1.20643923429986,cpf.gen,1,1,1,247.072096378161,57.138009946259,500,-500,500,-500,1,0
beerten_vsc,27,1.20643923429986,cpf.gen,2,2,2,139.531236829739,8.93892483945086,300,-300,300,0,1,0
beerten_vsc,28,1.2505155922229,cpf.gen,1,1,1,251.497355993753,56.2413570213228,500,-500,500,-500,1,0
beerten_vsc,28,1.2505155922229,cpf.gen,2,2,2,143.16753635839,10.8196562816731,300,-300,300,0,1,0
beerten_vsc,29,1.29436398927509,cpf.gen,1,1,1,255.828551375785,55.3740348377369,500,-500,500,-500,1,0
beerten_vsc,29,1.29436398927509,cpf.gen,2,2,2,146.785029115195,9.21592482778891,300,-300,300,0,1,0
beerten_vsc,30,1.33805527008198,cpf.gen,1,1,1,260.254902947507,54.5008064930223,500,-500,500,-500,1,0
beerten_vsc,30,1.33805527008198,cpf.gen,2,2,2,150.389559781764,11.1528832435908,300,-300,300,0,1,0
beerten_vsc,31,1.3815074463013,cpf.gen,1,1,1,264.591478746287,53.6551680141546,500,-500,500,-500,1,0
beerten_vsc,31,1.3815074463013,cpf.gen,2,2,2,153.974364319857,9.58674922011886,300,-300,300,0,1,0
beerten_vsc,32,1.42479497889371,cpf.gen,1,1,1,269.016495657852,52.8057327047757,500,-500,500,-500,1,0
beerten_vsc,32,1.42479497889371,cpf.gen,2,2,2,157.545585758731,11.5782574252133,300,-300,300,0,1,0
beerten_vsc,33,1.46783249613293,cpf.gen,1,1,1,274.605440931339,51.719009979002,500,-500,500,-500,1,0
beerten_vsc,33,1.46783249613293,cpf.gen,2,2,2,160,14.0313420881426,300,-300,300,0,1,0
