set_name,bus_i,base_kv,vm_initial,vm_final,vm_min
all_physical,10,500,1.02890173682,1.00184821801,1.00184821801
all_physical,11,500,0.988769931985,0.935634837833,0.935634837833
all_physical,12,500,1.01669444718,1.00530660273,0.972831102623
all_physical,15,500,1.01168427886,0.98842287439,0.957285975123
all_physical,19,500,1.0092234272,0.980777663278,0.950258425994
all_physical,100,330,1.04769424869,1.01248449586,1.01248449586
all_physical,102,13.8,1.04,1.04,1.04
all_physical,104,13.8,1.04,1.04,1.04
all_physical,106,13.8,1.04,1.04,1.04
all_physical,108,13.8,1.04,1.04,1.04
all_physical,115,220,1.02242912486,0.954615125394,0.950754843001
all_physical,117,220,1.01552309681,0.949606009678,0.945664852054
all_physical,118,220,1.01768019554,0.949658121432,0.945855497817
all_physical,190,10.5,1.06914851442,0.829653872759,0.829653872759
all_physical,191,10.5,1.07848420922,0.841363990364,0.841363990364
all_physical,192,10.5,1.01157874209,0.755220970601,0.755220970601
all_physical,193,132,1.0057052203,0.752877918509,0.752877918509
all_physical,200,330,1.01399588665,0.842555399204,0.842555399204
all_physical,201,13.2,nan,nan,nan
all_physical,202,13.2,nan,nan,nan
all_physical,203,13.2,nan,nan,nan
all_physical,204,13.2,nan,nan,nan
all_physical,205,11,nan,nan,nan
all_physical,206,11,nan,nan,nan
all_physical,207,11,1.02737066322,0.683476966166,0.683476966166
all_physical,208,11,1.02737066322,0.683476966166,0.683476966166
all_physical,209,11,1.02737066322,0.683476966166,0.683476966166
all_physical,210,330,1.01394339218,0.840545709264,0.840545709264
all_physical,211,330,1.01394386285,0.840587777792,0.840587777792
all_physical,212,33,1.02751263654,0.683720711976,0.683720711976
all_physical,213,330,1.0135308991,0.838482811276,0.838482811276
all_physical,214,33,nan,nan,nan
all_physical,215,132,nan,nan,nan
all_physical,216,33,1.02737066322,0.683476966166,0.683476966166
all_physical,217,33,1.02731196155,0.683376227138,0.683376227138
all_physical,218,33,1.02744164233,0.68359880566,0.68359880566
all_physical,219,13.2,1.02744164233,0.68359880566,0.68359880566
all_physical,220,132,1.04075155381,0.798935954216,0.798935954216
all_physical,221,132,1.04134254825,1.02075028403,1.02075028403
all_physical,222,33,1.00573186383,0.753703187082,0.753703187082
all_physical,223,132,1.04461862009,1.02905552812,1.02905552812
all_physical,224,330,1.01402397447,0.842894409995,0.842894409995
all_physical,226,132,1.04813025635,1.03060380149,1.03060380149
all_physical,227,33,1.02735839844,0.683455921731,0.683455921731
all_physical,230,132,1.03520468554,0.798968488045,0.798968488045
all_physical,240,132,1.00640789396,0.849829189788,0.849829189788
all_physical,242,13.2,0.966664655532,0.792622212017,0.792622212017
all_physical,243,132,1.01029491166,0.871907246744,0.871907246744
all_physical,244,33,0.969336306939,0.799739354348,0.799739354348
all_physical,246,132,1.04122418803,1.02309937337,1.02309937337
all_physical,250,132,1.03259797355,0.930851025501,0.930851025501
all_physical,251,13.2,1.04,0.942806612053,0.942806612053
all_physical,252,13.2,nan,nan,nan
all_physical,253,132,1.01753618412,0.752023901393,0.752023901393
all_physical,254,33,1.0260509718,0.769640085154,0.769640085154
all_physical,255,33,1.01622147757,0.678500803813,0.678500803813
all_physical,256,33,1.03011567796,0.774842443295,0.774842443295
all_physical,257,33,1.02052637898,0.677226416963,0.677226416963
all_physical,258,132,1.01287896551,0.883351631643,0.883351631643
all_physical,259,132,1.00583550547,0.753076613843,0.753076613843
all_physical,261,132,1.0057736469,0.752946638891,0.752946638891
all_physical,264,132,1.05824200431,1.04191098169,1.04191098169
all_physical,265,33,1.0059811756,0.754720325791,0.754720325791
all_physical,266,132,1.0497285935,1.0310616613,1.0310616613
all_physical,268,132,1.00573944812,0.752832000468,0.752832000468
all_physical,269,132,1.00573944812,0.752832000468,0.752832000468
all_physical,271,132,1.02317044381,0.998142954894,0.998142954894
all_physical,272,132,1.03627886615,1.0182787927,1.0182787927
all_physical,273,132,1.04134157844,1.02075326452,1.02075326452
all_physical,275,132,1.04328846017,1.02932541156,1.02932541156
all_physical,280,13.2,1.07711520311,1.04292922495,1.04292922495
all_physical,281,13.2,1.01973441395,0.973508328421,0.973508328421
all_physical,282,13.2,0.976945238989,0.921741867325,0.921741867325
all_physical,300,132,1.00214970652,0.636869276395,0.636869276395
all_physical,310,132,1.00196059022,0.635927289102,0.635927289102
all_physical,311,132,1.0238345102,0.992787010177,0.992787010177
all_physical,315,132,1.03544256507,0.937528550898,0.937528550898
all_physical,316,132,nan,nan,nan
all_physical,317,132,nan,nan,nan
all_physical,318,132,nan,nan,nan
all_physical,320,132,0.964173110487,0.524545326933,0.524545326933
all_physical,322,132,0.960183920335,0.515356633047,0.515356633047
all_physical,330,132,0.956525806923,0.85546045933,0.85546045933
all_physical,332,13.2,0.959052682664,0.789429829562,0.789429829562
all_physical,334,33,0.970878462535,0.808649331,0.808649331
all_physical,400,132,0.994793115926,0.96812067813,0.96812067813
all_physical,401,132,0.994729934742,0.968044013925,0.968044013925
all_physical,402,132,1.033610074,0.984010409201,0.984010409201
all_physical,403,132,1.01549922513,0.941111028924,0.941111028924
all_physical,404,132,0.98607992956,0.967777389185,0.967777389185
all_physical,405,132,0.999209646627,0.989104360495,0.989104360495
all_physical,406,13.2,0.994729934742,0.968044013925,0.968044013925
all_physical,407,33,1.02176551206,0.997934362036,0.997934362036
all_physical,408,10.4,0.984385546609,0.955405383617,0.955405383617
all_physical,409,10.4,0.984384621508,0.955404262428,0.955404262428
all_physical,410,66,0.990036570675,0.967855810577,0.967855810577
all_physical,411,132,0.986064420525,0.967776294808,0.967776294808
all_physical,412,132,0.999481785854,0.990639168451,0.990639168451
all_physical,413,33,1.04410319124,1.00381280563,1.00381280563
all_physical,415,13.2,1.02133955724,1.00074894111,1.00074894111
all_physical,416,66,1.00253047504,0.982349594792,0.982349594792
all_physical,417,35,0.988062007858,0.982615096459,0.982615096459
all_physical,418,35,0.992513579832,0.987566785935,0.987566785935
all_physical,420,33,0.983094940752,0.95370512661,0.95370512661
all_physical,422,13.8,0.979719713605,0.949728519776,0.949728519776
all_physical,423,35,0.992515547506,0.987570137039,0.987570137039
all_physical,424,35,0.992516403536,0.987571700393,0.987571700393
all_physical,437,13.8,0.994729934742,0.968044013925,0.968044013925
all_physical,438,13.8,0.994729934742,0.968044013925,0.968044013925
all_physical,440,132,0.9575002392,0.932717109782,0.932717109782
all_physical,441,132,0.984785944522,0.88737226648,0.88737226648
all_physical,442,132,0.945344317357,0.918234791611,0.918234791611
all_physical,444,132,0.974248796387,0.952839244502,0.952839244502
all_physical,445,132,0.973110195027,0.95150162329,0.95150162329
all_physical,446,132,1.02885582743,0.940047787416,0.940047787416
all_physical,447,132,nan,nan,nan
all_physical,448,132,1.00122328668,0.913236641989,0.913236641989
all_physical,449,132,0.99163147469,0.972412724163,0.972412724163
all_physical,450,132,0.992770242212,0.969814671196,0.969814671196
all_physical,451,33,0.975191095179,0.968170544404,0.968170544404
all_physical,453,0.4,1.03,1.03,1.03
all_physical,454,132,1.03975639223,0.965915906694,0.965915906694
all_physical,455,132,0.988934335064,0.893793355588,0.893793355588
all_physical,456,132,0.995139449616,0.972589052963,0.972589052963
all_physical,457,132,0.976951877066,0.87774422906,0.87774422906
all_physical,458,132,1.04352264254,0.970620642951,0.970620642951
all_physical,459,132,1.02321478608,0.923890510839,0.923890510839
all_physical,460,132,1.02321478608,0.923890510839,0.923890510839
all_physical,461,132,1.02390326435,0.923369420374,0.923369420374
all_physical,462,35,1.01710042101,0.867936247996,0.867936247996
all_physical,463,35,1.01709460638,0.867928470327,0.867928470327
all_physical,464,13.8,0.977562056756,0.834408838483,0.834408838483
all_physical,465,132,1.01928377576,0.933216446078,0.933216446078
all_physical,466,10.5,0.977257996716,0.834303464484,0.834303464484
all_physical,467,132,1.02348235841,0.924736524825,0.924736524825
all_physical,468,10.5,1.01710042101,0.867936247996,0.867936247996
all_physical,470,132,1.02331507946,0.923981068663,0.923981068663
all_physical,472,35,1.02331507946,0.923981068663,0.923981068663
all_physical,474,35,1.04322689864,0.930781493939,0.930781493939
all_physical,475,35,nan,nan,nan
all_physical,476,0.4,nan,nan,nan
all_physical,477,35,1.05510600432,0.973599473531,0.973599473531
all_physical,478,0.4,1.04,1.04,1.04
all_physical,479,33,1.02674045739,0.922412188462,0.922412188462
all_physical,480,132,1.04846912323,0.987453451843,0.987453451843
all_physical,481,132,nan,nan,nan
all_physical,482,132,nan,nan,nan
all_physical,483,132,1.05091861152,0.990786220529,0.990786220529
all_physical,484,33,1.02627386662,0.922566949122,0.922566949122
all_physical,490,132,0.997823538179,0.975732222835,0.975732222835
all_physical,491,11.5,1.03,1.03,1.03
all_physical,492,11.5,0.997823538179,0.975732222835,0.975732222835
all_physical,493,11.5,1.03,1.03,1.03
all_physical,494,132,1.03753341915,0.829500205277,0.829500205277
all_physical,495,132,1.05020722686,0.991419680623,0.991419680623
all_physical,500,33,1.00719604539,0.977617573164,0.977617573164
all_physical,501,33,1.01268182319,0.836015095438,0.836015095438
all_physical,504,33,1.03520138194,0.937224636424,0.937224636424
all_physical,506,33,nan,nan,nan
all_physical,508,33,1.00073752876,0.992444201049,0.992444201049
all_physical,510,33,1.04121806336,0.799127359566,0.799127359566
all_physical,511,33,1.03795223745,0.802438076755,0.802438076755
all_physical,512,33,1.03394022322,0.985532760737,0.985532760737
all_physical,513,33,1.04098811182,0.997122915937,0.997122915937
all_physical,514,13.2,0.989300691053,0.967822710367,0.967822710367
all_physical,515,13.2,0.98954251963,0.967833345452,0.967833345452
all_physical,516,13.2,1.02211078634,0.998193544492,0.998193544492
all_physical,517,33,1.04092314917,1.00018760503,1.00018760503
all_physical,518,33,nan,nan,nan
all_physical,519,33,0.945611338442,0.925213604804,0.925213604804
all_physical,520,33,1.02223833627,0.998342601879,0.998342601879
all_physical,521,33,1.04322324152,1.00476742505,1.00476742505
all_physical,522,33,1.05578925037,1.02284831118,1.02284831118
all_physical,523,11,nan,nan,nan
all_physical,524,33,1.05014765514,1.01822101776,1.01822101776
all_physical,525,11,nan,nan,nan
all_physical,526,33,1.01467095074,0.916041081506,0.916041081506
all_physical,527,33,1.0784951546,1.04961785347,1.04961785347
all_physical,528,33,1.10268382182,1.07849317596,1.07849317596
all_physical,532,33,1.00475003998,0.987834715744,0.987834715744
all_physical,533,33,1.02924326931,1.02059518066,1.02059518066
