accepted_point_no,raw_index,lambda
1,0,0
2,10,0.0231695508186127
3,20,0.0463677624495172
4,30,0.0695387001107498
5,39,0.0926887678623338
6,48,0.115807938040305
7,57,0.138895782628865
8,66,0.161951865502465
9,75,0.184975742006779
10,84,0.207966958507238
11,94,0.230925051905366
12,142,0.253853526079855
13,162,0.276653639409722
14,183,0.299492095345874
15,202,0.32234093309399
16,203,0.343397922105059
17,204,0.36437484574939
18,205,0.385268815997301
19,206,0.406076732597204
20,207,0.426795260211313
21,208,0.447420800992401
22,210,0.467949462973003
23,212,0.488378287313543
24,213,0.50865472487657
25,214,0.528810679372306
26,215,0.548839704648749
27,216,0.568734676139535
28,217,0.588487658215434
29,218,0.608089790780063
30,246,0.627531125924428
31,247,0.646802132341539
32,248,0.66588546315097
33,249,0.684766221334728
34,250,0.703427256091588
35,279,0.721848673437057
36,310,0.739592919815784
37,327,0.755798575658643
38,336,0.772772304146948
39,337,0.789758943358326
40,338,0.806418000834175
41,339,0.822708762939346
42,340,0.838581289277802
43,341,0.853973444362588
44,342,0.868806678381196
45,343,0.882979892814649
46,344,0.896360291197909
47,345,0.908769330066893
48,346,0.919960407938161
49,347,0.929582030690313
50,348,0.937114412190123
51,350,0.941757695394678
52,351,0.942852938694564
53,352,0.942857452495625
54,353,0.942857500711276
