bus_i,base_kv,lambda_from,lambda_to,vm_from,vm_to,delta_vm
322,132.0,0.299492095345874,0.32234093309399,0.949953195616368,0.706541027910669,-0.24341216770569907
320,132.0,0.299492095345874,0.32234093309399,0.954188785223036,0.712477173133872,-0.24171161208916392
310,132.0,0.299492095345874,0.32234093309399,0.994925850544519,0.776500065435716,-0.21842578510880295
300,132.0,0.299492095345874,0.32234093309399,0.995155522610625,0.777054563841753,-0.21810095876887203
510,33.0,0.299492095345874,0.32234093309399,1.03877864626928,0.861910132897862,-0.17686851337141807
220,132.0,0.299492095345874,0.32234093309399,1.0384492134824,0.861667676678088,-0.17678153680431197
217,33.0,0.299492095345874,0.32234093309399,1.00404691032241,0.827389938268901,-0.17665697205350894
227,33.0,0.299492095345874,0.32234093309399,1.00409655818671,0.827450387544703,-0.17664617064200705
207,11.0,0.299492095345874,0.32234093309399,1.00410967087592,0.82746635196639,-0.1766433189095301
208,11.0,0.299492095345874,0.32234093309399,1.00410967087592,0.82746635196639,-0.1766433189095301
209,11.0,0.299492095345874,0.32234093309399,1.00410967087592,0.82746635196639,-0.1766433189095301
216,33.0,0.299492095345874,0.32234093309399,1.00410967087592,0.82746635196639,-0.1766433189095301
218,33.0,0.299492095345874,0.32234093309399,1.00418555892848,0.82755875672241,-0.17662680220607008
219,13.2,0.299492095345874,0.32234093309399,1.00418555892848,0.82755875672241,-0.17662680220607008
212,33.0,0.299492095345874,0.32234093309399,1.00426146464741,0.827651193249875,-0.17661027139753493
657,0.7,0.299492095345874,0.32234093309399,0.928413687793036,0.756121869402465,-0.17229181839057106
230,132.0,0.299492095345874,0.32234093309399,1.03279285839636,0.861430977312548,-0.1713618810838119
511,33.0,0.299492095345874,0.32234093309399,1.03647263677525,0.865237101920863,-0.17123553485438692
257,33.0,0.299492095345874,0.32234093309399,0.961944982473407,0.797928227821607,-0.1640167546518
255,33.0,0.299492095345874,0.32234093309399,0.962160309991394,0.798550475846453,-0.163609834144941
494,132.0,0.299492095345874,0.32234093309399,1.04154804289694,0.88502660352267,-0.15652143937426988
598,33.0,0.299492095345874,0.32234093309399,1.01692002764312,0.866886253448054,-0.15003377419506603
599,33.0,0.299492095345874,0.32234093309399,1.02092610175627,0.871485972414504,-0.1494401293417661
254,33.0,0.299492095345874,0.32234093309399,1.0217002680516,0.872460828365032,-0.14923943968656805
665,0.7,0.299492095345874,0.32234093309399,1.02495958136854,0.875827175225982,-0.14913240614255796
256,33.0,0.299492095345874,0.32234093309399,1.02578124835385,0.877141552896037,-0.14863969545781297
656,0.7,0.299492095345874,0.32234093309399,1.03207819722323,0.884179220947759,-0.147898976275471
253,132.0,0.299492095345874,0.32234093309399,0.997774656638528,0.851770239867364,-0.14600441677116405
192,10.5,0.299492095345874,0.32234093309399,0.995373844711374,0.852144274756862,-0.14322956995451197
268,132.0,0.299492095345874,0.32234093309399,0.989612918728322,0.847652712659261,-0.141960206069061
269,132.0,0.299492095345874,0.32234093309399,0.989612918728322,0.847652712659261,-0.141960206069061
261,132.0,0.299492095345874,0.32234093309399,0.98965551222866,0.847727529212206,-0.14192798301645404
193,132.0,0.299492095345874,0.32234093309399,0.989572631114457,0.847698282570188,-0.14187434854426906
259,132.0,0.299492095345874,0.32234093309399,0.989710990970832,0.847860342635026,-0.14185064833580607
222,33.0,0.299492095345874,0.32234093309399,0.989734921053612,0.847925132948887,-0.141809788104725
265,33.0,0.299492095345874,0.32234093309399,0.989976087077288,0.849020864973713,-0.14095522210357503
190,10.5,0.299492095345874,0.32234093309399,1.05377839069892,0.91913242440502,-0.13464596629390002
191,10.5,0.299492095345874,0.32234093309399,1.0632367537979,0.92982211187426,-0.13341464192363994
242,13.2,0.299492095345874,0.32234093309399,0.96194950239329,0.854304425132921,-0.10764507726036898
657,0.7,0.230925051905366,0.253853526079855,1.02,0.912667617204014,-0.107332382795986
244,33.0,0.299492095345874,0.32234093309399,0.965079400155718,0.859265035951407,-0.105814364204311
240,132.0,0.299492095345874,0.32234093309399,1.00379805652419,0.902251368051186,-0.10154668847300397
213,330.0,0.299492095345874,0.32234093309399,1.00362307552711,0.907729755450538,-0.09589332007657203
210,330.0,0.299492095345874,0.32234093309399,1.00403106989315,0.909905356840011,-0.0941257130531391
211,330.0,0.299492095345874,0.32234093309399,1.00403505170816,0.90992420686056,-0.09411084484760002
501,33.0,0.299492095345874,0.32234093309399,1.00249090448141,0.908594528454101,-0.09389637602730905
200,330.0,0.299492095345874,0.32234093309399,1.00439435351294,0.910560596097293,-0.09383375741564703
224,330.0,0.299492095345874,0.32234093309399,1.00446283774012,0.910630921013178,-0.09383191672694191
526,33.0,0.299492095345874,0.32234093309399,1.03954703183268,0.948347972093511,-0.09119905973916909
550,33.0,0.299492095345874,0.32234093309399,1.04794087056391,0.957472949712801,-0.090467920851109
243,132.0,0.299492095345874,0.32234093309399,1.0079356341506,0.920769284426565,-0.08716634972403503
601,0.7,0.299492095345874,0.32234093309399,1.08648174173784,0.999315944806767,-0.08716579693107307
573,33.0,0.299492095345874,0.32234093309399,1.04033083356762,0.954710004877859,-0.08562082868976106
580,33.0,0.299492095345874,0.32234093309399,1.04653915990096,0.961068074628848,-0.08547108527211189
463,35.0,0.739592919815784,0.755798575658643,0.989077200874294,0.907798578017738,-0.08127862285655596
462,35.0,0.739592919815784,0.755798575658643,0.989083843561447,0.907805831293773,-0.08127801226767395
468,10.5,0.739592919815784,0.755798575658643,0.989083843561447,0.907805831293773,-0.08127801226767395
258,132.0,0.299492095345874,0.32234093309399,1.01070350933114,0.930331180537339,-0.08037232879380107
601,0.7,0.253853526079855,0.276653639409722,1.0062261024222,1.08491634863353,0.07869024621133014
464,13.8,0.739592919815784,0.755798575658643,0.950651029815888,0.872671127058918,-0.07797990275696998
466,10.5,0.739592919815784,0.755798575658643,0.950367272722597,0.8725121771253,-0.07785509559729697
257,33.0,0.230925051905366,0.253853526079855,1.01736691689751,0.946814068693431,-0.07055284820407892
250,132.0,0.299492095345874,0.32234093309399,1.03259669826907,0.96663555672257,-0.06596114154650001
255,33.0,0.230925051905366,0.253853526079855,1.01259617493067,0.947055068855935,-0.06554110607473496
251,13.2,0.299492095345874,0.32234093309399,1.04352259921912,0.978209783789731,-0.06531281542938894
721,132.0,0.739592919815784,0.755798575658643,0.973542718481832,1.03766705087949,0.06412433239765802
720,132.0,0.739592919815784,0.755798575658643,0.983303747235348,1.04508117060166,0.06177742336631209
474,35.0,0.739592919815784,0.755798575658643,1.02212498343214,0.960861857768055,-0.06126312566408498
332,13.2,0.299492095345874,0.32234093309399,0.929759328619138,0.874040353578335,-0.05571897504080303
334,33.0,0.299492095345874,0.32234093309399,0.943017365736189,0.888789808944337,-0.05422755679185198
721,132.0,0.721848673437057,0.739592919815784,1.02474980553773,0.973542718481832,-0.05120708705589794
546,33.0,0.721848673437057,0.739592919815784,1.05458858127776,1.0042454722315,-0.05034310904626005
557,13.2,0.739592919815784,0.755798575658643,0.907210516609133,0.856905899445263,-0.050304617163870025
556,33.0,0.739592919815784,0.755798575658643,0.907769459711221,0.857498808991532,-0.05027065071968906
720,132.0,0.721848673437057,0.739592919815784,1.03252796685583,0.983303747235348,-0.04922421962048207
115,220.0,0.721848673437057,0.739592919815784,1.00811084231904,0.959899367869162,-0.048211474449877945
118,220.0,0.721848673437057,0.739592919815784,1.00317701175704,0.954992490551815,-0.048184521205224984
545,33.0,0.721848673437057,0.739592919815784,1.00461608671503,0.957039175795841,-0.04757691091918903
117,220.0,0.721848673437057,0.739592919815784,1.00198336089554,0.954625726628921,-0.047357634266618986
19,500.0,0.721848673437057,0.739592919815784,0.996599627511854,0.950258425993579,-0.04634120151827503
557,13.2,0.721848673437057,0.739592919815784,0.95348892072859,0.907210516609133,-0.04627840411945705
556,33.0,0.721848673437057,0.739592919815784,0.954019560119837,0.907769459711221,-0.04625010040861599
477,35.0,0.739592919815784,0.755798575658643,1.03980473220589,0.995396023884229,-0.044408708321661106
504,33.0,0.721848673437057,0.739592919815784,1.02244646275582,0.979140993512925,-0.04330546924289502
315,132.0,0.721848673437057,0.739592919815784,1.02271704634845,0.979424183474485,-0.043292862873965055
15,500.0,0.721848673437057,0.739592919815784,0.999447364996404,0.957285975123367,-0.04216138987303697
479,33.0,0.755798575658643,0.772772304146948,0.969066047754511,0.929770530309654,-0.03929551744485704
484,33.0,0.755798575658643,0.772772304146948,0.969053401615611,0.929898430720288,-0.03915497089532305
512,33.0,0.755798575658643,0.772772304146948,1.03209852313222,0.993068892159661,-0.03902963097255896
454,132.0,0.755798575658643,0.772772304146948,1.01235618090934,0.973510872190684,-0.03884530871865599
