gen_row,bus,bus_name,status,PG,QG,MBASE,Smax,gen_type_code,gen_type,enforce,classification_rule
78,466,PTR1TG25    ,0,0,0,22.5,22.5,2,thermal,1,default_physical_thermal
79,468,PTR1TG23    ,0,0,0,22,22,2,thermal,1,default_physical_thermal
80,476,HUEMDI01    ,1,0,0,34.5,34.5,2,thermal,1,default_physical_thermal
81,478,MESEDI01    ,1,10,-0.811457409,15.75,15.75,2,thermal,1,default_physical_thermal
82,491,PATATG01    ,1,30,15.31716,45.4,45.4,2,thermal,1,default_physical_thermal
83,492,PATATG02    ,0,0,0,45.4,45.4,2,thermal,1,default_physical_thermal
84,493,PATATV01    ,1,20,29.9529641,84.2,84.2,2,thermal,1,default_physical_thermal
85,523,RTURTV01    ,1,0,0,145,145,2,thermal,1,default_physical_thermal
86,525,RTURTV02    ,1,0,0,145,145,2,thermal,1,default_physical_thermal
87,536,MBE2DI01    ,1,8.5,3.93233494,14.7,14.7,2,thermal,1,default_physical_thermal
88,536,MBE2DI01    ,1,8.5,3.93233494,14.7,14.7,2,thermal,1,default_physical_thermal
89,536,MBE2DI01    ,0,0,0,14.7,14.7,2,thermal,1,default_physical_thermal
90,601,CHN3EO01    ,1,19,-9.57365799,57.6,57.6,3,wind,1,bus_name_contains_EO
91,602,MAL1EO01    ,1,34,-4.25751159,50.4,50.4,3,wind,1,bus_name_contains_EO
92,603,KKAIEO01    ,0,0,0,27.3,27.3,3,wind,1,bus_name_contains_EO
93,604,LEONEO01    ,1,120,2.82968399,136.3,136.3,3,wind,1,bus_name_contains_EO
94,605,LOM6EO01    ,1,22,-0.511864643,50.4,50.4,3,wind,1,bus_name_contains_EO
95,607,MANBDI01    ,1,8.4,2.19622645,10.5,10.5,2,thermal,1,default_physical_thermal
96,608,CHN4EO01    ,1,63,-25.3159809,84,84,3,wind,1,bus_name_contains_EO
97,609,CHN2EO01    ,1,19,-6.20453676,28.8,28.8,3,wind,1,bus_name_contains_EO
98,618,MANBDI02    ,1,16.98,3.47302454,21.6,21.6,2,thermal,1,default_physical_thermal
99,619,MBE2DI02    ,1,8.5,3.93233494,14.7,14.7,2,thermal,1,default_physical_thermal
100,619,MBE2DI02    ,0,0,0,14.7,14.7,2,thermal,1,default_physical_thermal
