step_index,lambda,load_multiplier,min_VM_pu,max_VM_pu
1,-1.21127258977062e-26,1,0.778494560777228,1.17104532
2,7.53216548344244e-05,1.00007532165483,0.778461984344391,1.17104532
3,7.53216548344244e-05,1.00007532165483,0.778440844405158,1.17104532
4,7.53216548344244e-05,1.00007532165483,0.778418955836982,1.17104532
5,7.53216548344244e-05,1.00007532165483,0.778396286823117,1.17104532
6,7.53216548344244e-05,1.00007532165483,0.778372803911603,1.17104532
7,7.53216548344244e-05,1.00007532165483,0.778348471916297,1.17104532
8,7.53216548344244e-05,1.00007532165483,0.778323253810275,1.17104532
9,7.53216548344244e-05,1.00007532165483,0.778297110612192,1.17104532
10,7.53216548344244e-05,1.00007532165483,0.778270001264082,1.17104532
11,7.53216548344244e-05,1.00007532165483,0.778241882500547,1.17104532
12,7.53216548344244e-05,1.00007532165483,0.778212708708175,1.17104532
13,7.53216548344244e-05,1.00007532165483,0.778182431775078,1.17104532
14,7.53216548344244e-05,1.00007532165483,0.778151000928475,1.17104532
15,7.53216548344244e-05,1.00007532165483,0.778118362560791,1.17104532
16,7.53216548344244e-05,1.00007532165483,0.778084460042171,1.17173756851526
17,7.53216548344244e-05,1.00007532165483,0.778049233518803,1.18387583276368
18,7.53216548344244e-05,1.00007532165483,0.778012619695498,1.19627435229314
19,7.53216548344244e-05,1.00007532165483,0.777974551601415,1.20894133925033
20,7.53216548344244e-05,1.00007532165483,0.777934958337213,1.22188534073332
21,7.53216548344244e-05,1.00007532165483,0.777893764802113,1.23511525511745
22,7.53216548344244e-05,1.00007532165483,0.777850891399057,1.24864034926849
23,7.53216548344244e-05,1.00007532165483,0.777806253715749,1.26247027669177
24,7.53216548344244e-05,1.00007532165483,0.777759762179513,1.27661509666818
25,7.53216548344244e-05,1.00007532165483,0.777711321683731,1.29108529443002
26,7.53216548344244e-05,1.00007532165483,0.750518891628039,1.3332653402547
27,7.53216548344244e-05,1.00007532165483,0.750584998247308,1.3334280563213
28,0.000150336636219088,1.00015033663622,0.750529486362187,1.33342398544214
29,0.000300351625370175,1.00030035162537,0.750418417117247,1.33341583754493
30,0.000600321180279483,1.00060032118028,0.750196096784297,1.33339951706911
31,0.000975169648455732,1.00097516964846,0.749917854636981,1.33337907016925
32,0.00134989177599352,1.00134989177599,0.749639231686574,1.33335857178042
33,0.00172448729103836,1.00172448729104,0.749360226742777,1.33333802186046
34,0.00209895592082442,1.00209895592082,0.749080838608654,1.33331742036705
35,0.0024732973913156,1.00247329739132,0.748801066080697,1.3332967672577
36,0.00284751142761397,1.00284751142761,0.748520907948406,1.33327606248975
37,0.00322159775359559,1.0032215977536,0.748240362994415,1.33325530602031
38,0.00359555609226741,1.00359555609227,0.747959429994492,1.33323449780634
39,0.00396938616536762,1.00396938616537,0.747678107717501,1.33321363780457
40,0.00434308769364745,1.00434308769365,0.747396394925462,1.33319272597162
41,0.00471666039676067,1.00471666039676,0.747114290372976,1.33317176226385
42,0.00509010399324978,1.00509010399325,0.746831792807597,1.33315074663744
43,0.00546341820052377,1.00546341820052,0.746548900969912,1.33312967904838
44,0.00583660273487737,1.00583660273488,0.746265613593137,1.3331085594525
45,0.00620965731151463,1.00620965731151,0.745981929403113,1.33308738780537
46,0.00658258164451085,1.00658258164451,0.74569784711844,1.33306616406243
47,0.00695537544669125,1.00695537544669,0.745413365450273,1.33304488817888
48,0.00732803842988882,1.00732803842989,0.74512848310232,1.33302356010975
49,0.00770057030462903,1.00770057030463,0.744843198770837,1.33300217980985
50,0.00807297078030177,1.0080729707803,0.744557511144289,1.3329807472338
51,0.00844523956525781,1.00844523956526,0.744271418903509,1.33295926233599
52,0.00881737636646593,1.00881737636647,0.743984920721876,1.33293772507065
53,0.0091893808897963,1.0091893808898,0.743698015264708,1.33291613539177
54,0.00956125283987693,1.00956125283988,0.743410701189608,1.33289449325317
55,0.00993299192023024,1.00993299192023,0.743122977146361,1.33287279860842
56,0.0103045978329237,1.01030459783292,0.74283484177657,1.33285105141091
57,0.0106760702790041,1.010676070279,0.742546293713947,1.3328292516138
58,0.0110474089581925,1.01104740895819,0.742257331584124,1.33280739917006
59,0.011418613568993,1.01141861356899,0.74196795400454,1.33278549403245
60,0.0117896838085361,1.01178968380854,0.741678159584406,1.33276353615349
61,0.0121606193728109,1.01216061937281,0.741387946924478,1.33274152548549
62,0.0125314199564642,1.01253141995646,0.741097314617547,1.33271946198058
63,0.0129020852528587,1.01290208525286,0.740806261247439,1.3326973455906
64,0.0132726149540229,1.01327261495402,0.740514785389923,1.33267517626725
65,0.0136430087507085,1.01364300875071,0.740222885612053,1.33265295396196
66,0.0140132663323678,1.01401326633237,0.739930560471899,1.33263067862595
67,0.0143833873870014,1.014383387387,0.739637808519519,1.33260835021023
68,0.0147533716014356,1.01475337160144,0.739344628295406,1.33258596866554
