accepted_index,lambda,total_demand_MW,phase,AC_bus_1_pu,AC_bus_2_pu,AC_bus_3_pu,AC_bus_4_pu,AC_bus_5_pu,AC_bus_6_pu,AC_bus_7_pu,VSC1_filter_pu,VSC1_internal_pu,VSC2_filter_pu,VSC2_internal_pu,VSC3_filter_pu,VSC3_internal_pu,DC_bus_2_pu,DC_bus_3_pu,DC_bus_5_pu
1,0,165,increasing_demand,1.06,1.00586795517546,1,0.996999882034244,0.995073382098997,1,0.981252420237628,1.00582819029313,0.989666276775489,1.0000005852971,1.00026309598062,0.995078407475685,0.997458068723197,1.00800481297349,1,0.998008051166774
2,0.0459894557630017,176.03746938312,increasing_demand,1.06,1.0053688780771,1,0.996405091225709,0.989783603540693,1,0.980661029306424,1.00532909345677,0.98915943822933,1.00000294391409,1.00118999677761,0.989788655781595,0.992182095440128,1.00800472165197,1,0.99800790275207
3,0.0918088752483343,187.0341300596,increasing_demand,1.06,1.0048159263519,1,0.995782428303091,0.984336031250622,1,0.980041921025164,1.00477611983998,0.988597878716733,1.00000543249014,1.00216796694862,0.984341111458993,0.986748913278788,1.0080046240226,1,0.998007746902092
4,0.137426888662866,197.982453279088,increasing_demand,1.06,1.00420852299655,1,0.995131535552627,0.978728449300455,1,0.979394739081431,1.0041686924095,0.987981009609025,1.00000805277312,1.00319769309631,0.97873355862308,0.981156331019902,1.00800451991637,1,0.998007583327067
5,0.182808051541261,208.873932369903,increasing_demand,1.06,1.00354616631738,1,0.994452109603741,0.972959048612559,1,0.978719181154128,1.00350630944385,0.987308318454312,1.00001080627313,1.00427976846695,0.97296418823999,0.975402564649798,1.00800440916522,1,0.998007411732781
6,0.227914151589993,219.699396381598,increasing_demand,1.06,1.00282843118654,1,0.993743892744833,0.967026323841482,1,0.978014990279298,1.00278854578958,0.986579370249813,1.00001369429155,1.00541470434844,0.967031495008859,0.969486134564574,1.00800429160069,1,0.99800723181734
7,0.272705111494566,230.449226758696,increasing_demand,1.06,1.00205496870004,1,0.993006666415033,0.960928999415161,1,0.977281948379339,1.00201505251924,0.985793807092121,1.00001671794504,1.00660293948955,0.960934203403509,0.963405791876977,1.00800416705275,1,0.99800704326838
8,0.317139204556735,241.113409093616,increasing_demand,1.06,1.00122551294227,1,0.992240253556881,0.954666035015563,1,0.976519878602845,1.00118556369626,0.984951355047694,1.00001987815523,1.00784483603358,0.954671273153158,0.9571605239552,1.00800403534997,1,0.998006845762556
9,0.361172669776239,251.681440746297,increasing_demand,1.06,1.00107763825479,1,0.991988866950191,0.952898568360095,1,0.976269914985876,1.00103768310818,0.98480116125801,1.00002094137227,1.00826265788098,0.952903816216166,0.9553980986564,1.00800400405412,1,0.998006791910396
10,0.404896064623881,262.175055509732,increasing_demand,1.06,1.00087381535538,1,0.991708148259361,0.950976315384135,1,0.975990784409156,1.00083385207284,0.984594140766204,1.00002214062119,1.00873393706497,0.950981573850814,0.953481352436215,1.00800396685088,1,0.998006731867997
11,0.448276835361538,272.586440486769,increasing_demand,1.06,1.00061427002515,1,0.991398182692389,0.948899023334806,1,0.975682571296536,1.00057429637763,0.984330521885331,1.00002347556678,1.00925854174952,0.948904293316239,0.951410039475112,1.008003923718,1,0.998006665563053
12,0.458333333333333,275,increasing_demand,1.06,1.00037078671413,1,0.991192531376432,0.947282732040393,1,0.975478082024365,1.00033080333817,0.984083215302691,1.0000243367008,1.00959694831759,0.947288011016134,0.949798420760612,1.00800388710255,1,0.998006612575225
13,0.496059977692196,284.054394646127,increasing_demand,1.06,0.999080166695979,1,0.990330788190444,0.940826140594538,1,0.974621202530526,0.99904013167382,0.982772300087271,1.00002820785794,1.01111822552029,0.940831455808211,0.943360675073657,1.00800371722466,1,0.998006389893587
14,0.533241790702699,292.978029768648,increasing_demand,1.06,0.997754148741818,1,0.989448572670616,0.934255561699718,1,0.973743956804093,0.997714060517815,0.981425378698077,1.00003218309197,1.01268039968299,0.934260914305513,0.936809575957429,1.00800354172011,1,0.998006159444465
15,0.569838825488132,301.761318117152,increasing_demand,1.06,0.996393596915075,1,0.988546369867143,0.92757397968663,1,0.972846826474679,0.996353453956513,0.980043324483844,1.00003625998847,1.01428252202824,0.927579370859721,0.930148122129447,1.00800336054928,1,0.998005921065825
